session_id,station_id,operator,city,latitude,longitude,station_type,connector_type,port_count,session_start,session_end,duration_min,energy_kw,price_paid_inr,user_type,vehicle_type,payment_method,weather,weekday,tariff_inr_per_kwh
MS_S_00001,MS-1409,Private-Operator-2,Pune,18.515717,73.852017,AC Slow,CHAdeMO,4,16-06-2025 07:08,16-06-2025 10:46,218,11.25,137.14,Private,Two-wheeler,UPI,Sunny,Monday,12.19
MS_S_00002,MS-2535,MSEDCL,Mumbai,19.066611,72.888551,AC Slow,CCS,3,03-07-2025 19:01,03-07-2025 21:54,173,9.42,122.08,Commercial,Two-wheeler,Wallet,Sunny,Thursday,12.96
MS_S_00003,MS-3615,Private-Operator-2,Mumbai,19.041502,72.866454,AC Slow,Bharat DC-001,1,22-06-2025 08:09,22-06-2025 09:34,85,5.26,61.38,Commercial,Two-wheeler,Subscription,Cool,Sunday,11.67
MS_S_00004,MS-6881,Reliance BP,Pune,18.549713,73.852184,AC Slow,CHAdeMO,1,22-07-2025 01:46,22-07-2025 04:13,147,5.09,53.75,Commercial,Two-wheeler,Wallet,Cloudy,Tuesday,10.56
MS_S_00005,MS-6925,Private-Operator-1,Latur,18.38598,76.568114,AC Slow,CCS,2,16-07-2025 02:02,16-07-2025 05:21,199,9.29,77.39,Commercial,Four-wheeler,Card,Sunny,Wednesday,8.33
MS_S_00006,MS-7227,Reliance BP,Pune,18.508387,73.850866,AC Slow,Bharat DC-001,3,11-07-2025 11:10,11-07-2025 13:14,124,14.52,198.34,Commercial,Three-wheeler,UPI,Sunny,Friday,13.66
MS_S_00007,MS-3803,Private-Operator-1,Latur,18.425451,76.536183,DC Fast,CCS,1,11-06-2025 14:24,11-06-2025 14:51,27,11.71,215.93,Private,Three-wheeler,UPI,Cool,Wednesday,18.44
MS_S_00008,MS-1525,Reliance BP,Nashik,20.012269,73.793227,AC Slow,Bharat DC-001,2,18-06-2025 02:13,18-06-2025 05:08,175,8.65,80.36,Commercial,Two-wheeler,Subscription,Hot,Wednesday,9.29
MS_S_00009,MS-8517,MSEDCL,Solapur,17.63033,75.892003,AC Slow,CHAdeMO,1,09-06-2025 07:47,09-06-2025 10:40,173,1.63,16.76,Commercial,Four-wheeler,Subscription,Cloudy,Monday,10.28
MS_S_00010,MS-4593,MSEDCL,Aurangabad,19.882682,75.335598,DC Fast,Bharat DC-001,1,06-06-2025 01:55,06-06-2025 02:12,17,20.45,389.78,Private,Four-wheeler,Subscription,Sunny,Friday,19.06
MS_S_00011,MS-2040,AtherGrid,Latur,18.42962,76.579226,AC Slow,Bharat DC-001,4,09-07-2025 14:33,09-07-2025 16:07,94,11.81,110.9,Private,Three-wheeler,UPI,Cool,Wednesday,9.39
MS_S_00012,MS-5371,Private-Operator-2,Amravati,20.944025,77.798511,DC Fast,CHAdeMO,1,08-06-2025 09:27,08-06-2025 09:47,20,24.72,333.97,Commercial,Four-wheeler,Card,Sunny,Sunday,13.51
MS_S_00013,MS-2743,Private-Operator-2,Amravati,20.953651,77.806125,AC Slow,CHAdeMO,1,24-07-2025 20:32,24-07-2025 23:37,185,5.35,55,Commercial,Four-wheeler,UPI,Sunny,Thursday,10.28
MS_S_00014,MS-6310,AtherGrid,Latur,18.416228,76.591361,DC Fast,Type-2,1,08-06-2025 11:56,08-06-2025 12:25,29,11.58,246.31,Private,Four-wheeler,UPI,Sunny,Sunday,21.27
MS_S_00015,MS-8962,Tata Power,Pune,18.522141,73.85072,DC Fast,CCS,1,09-06-2025 21:30,09-06-2025 22:15,45,33.75,592.65,Commercial,Four-wheeler,Card,Sunny,Monday,17.56
MS_S_00016,MS-7537,Private-Operator-2,Thane,19.247858,72.967735,AC Slow,CHAdeMO,2,29-06-2025 16:28,29-06-2025 17:28,60,13.71,133.67,Private,Two-wheeler,Card,Sunny,Sunday,9.75
MS_S_00017,MS-4608,Tata Power,Latur,18.427308,76.567175,AC Slow,Type-2,1,16-07-2025 20:03,16-07-2025 21:31,88,5.06,46.2,Private,Four-wheeler,UPI,Sunny,Wednesday,9.13
MS_S_00018,MS-4899,Reliance BP,Amravati,20.923359,77.772447,DC Fast,Bharat DC-001,1,14-06-2025 17:08,14-06-2025 18:04,56,54.09,1028.25,Commercial,Two-wheeler,Subscription,Hot,Saturday,19.01
MS_S_00019,MS-4119,Tata Power,Solapur,17.660002,75.901708,AC Slow,Type-2,1,13-07-2025 13:22,13-07-2025 15:40,138,12.45,174.67,Private,Three-wheeler,UPI,Sunny,Sunday,14.03
MS_S_00020,MS-7596,Private-Operator-2,Mumbai,19.072774,72.885781,AC Slow,CHAdeMO,1,22-07-2025 03:15,22-07-2025 04:34,79,2.68,27.76,Commercial,Two-wheeler,Card,Sunny,Tuesday,10.36
MS_S_00021,MS-8579,MSEDCL,Thane,19.179925,72.97757,AC Slow,Type-2,2,29-06-2025 17:06,29-06-2025 17:48,42,6.09,90.13,Private,Four-wheeler,Card,Cloudy,Sunday,14.8
MS_S_00022,MS-7658,AtherGrid,Nagpur,21.141953,79.094231,AC Slow,Bharat DC-001,1,14-06-2025 12:57,14-06-2025 13:42,45,9.53,109.79,Private,Four-wheeler,Wallet,Sunny,Saturday,11.52
MS_S_00023,MS-5673,AtherGrid,Kolhapur,16.727856,74.258339,AC Slow,Bharat DC-001,1,10-06-2025 06:18,10-06-2025 07:43,85,14.8,143.41,Private,Three-wheeler,UPI,Cool,Tuesday,9.69
